               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.037504,            0.043463,            0.019278,             0.71897,             0.31521,             0.34399,             0.21316,            0.036866,            0.037457,            0.021902,            0.006436,            0.006436,            0.006436
                  38,            0.038142,            0.045015,            0.018721,             0.71355,             0.32129,             0.35247,             0.22053,            0.036519,            0.037651,            0.021446,            0.006337,            0.006337,            0.006337
                  39,            0.037804,            0.044805,            0.018492,              0.7273,             0.31938,             0.35657,             0.21504,            0.036564,             0.03726,            0.020869,            0.006238,            0.006238,            0.006238
                  40,            0.037196,            0.044572,            0.018335,             0.72512,              0.3176,             0.35517,             0.22214,            0.036404,            0.038015,            0.020351,            0.006139,            0.006139,            0.006139
                  41,            0.036932,            0.042866,            0.018019,             0.71507,             0.32148,             0.35383,             0.21975,            0.036429,            0.038244,            0.021106,             0.00604,             0.00604,             0.00604
                  42,            0.037084,            0.044713,            0.018019,             0.73703,             0.31437,             0.36313,             0.22641,            0.036217,            0.037514,            0.020856,            0.005941,            0.005941,            0.005941
                  43,            0.037152,            0.044205,            0.017895,             0.67554,             0.32397,             0.36663,              0.2283,            0.036593,            0.037298,            0.020632,            0.005842,            0.005842,            0.005842
                  44,            0.036656,            0.042738,            0.017472,             0.74245,             0.31928,             0.37265,             0.23323,             0.03601,            0.037497,            0.020439,            0.005743,            0.005743,            0.005743
                  45,            0.036236,            0.043179,            0.017188,             0.68642,             0.37018,             0.37712,              0.2361,            0.035956,            0.037747,            0.020516,            0.005644,            0.005644,            0.005644
                  46,            0.036139,            0.042737,            0.016631,             0.67598,             0.37907,             0.37797,             0.23705,            0.035927,            0.037451,            0.020511,            0.005545,            0.005545,            0.005545
                  47,            0.036212,            0.043679,             0.01642,             0.64789,              0.3749,             0.36534,             0.22826,            0.036189,            0.038058,            0.020974,            0.005446,            0.005446,            0.005446
                  48,            0.035411,            0.041128,            0.016431,             0.69279,             0.34501,             0.36678,             0.22774,             0.03612,            0.037718,            0.020825,            0.005347,            0.005347,            0.005347
                  49,            0.036023,            0.043176,             0.01667,              0.6725,             0.35947,             0.36672,             0.23005,             0.03585,            0.037637,            0.021026,            0.005248,            0.005248,            0.005248
                  50,            0.035516,             0.04238,            0.015906,             0.70719,             0.35653,             0.37789,             0.23804,            0.035873,            0.037382,            0.020723,            0.005149,            0.005149,            0.005149
                  51,            0.035503,            0.042191,            0.015714,             0.67925,             0.34974,             0.37821,             0.24044,            0.035972,            0.037968,            0.020681,             0.00505,             0.00505,             0.00505
                  52,            0.035386,            0.042136,            0.015536,             0.70261,             0.37629,             0.38852,               0.247,            0.035587,            0.037466,            0.020346,            0.004951,            0.004951,            0.004951
                  53,            0.035496,            0.042764,            0.015543,             0.66614,             0.39073,             0.38506,             0.24463,            0.035613,            0.037783,            0.020507,            0.004852,            0.004852,            0.004852
                  54,            0.035571,            0.042523,            0.015444,             0.72082,             0.33127,             0.37998,             0.24273,            0.035593,            0.037832,            0.020757,            0.004753,            0.004753,            0.004753
                  55,            0.034692,            0.040575,            0.015392,             0.66982,             0.35776,             0.37949,             0.24009,            0.035679,            0.037631,            0.020483,            0.004654,            0.004654,            0.004654
                  56,            0.034737,            0.041749,            0.015059,             0.69612,             0.34583,             0.37905,             0.23903,            0.035546,            0.037501,            0.020388,            0.004555,            0.004555,            0.004555
                  57,            0.034605,            0.041228,            0.015266,              0.6975,             0.36606,             0.38486,             0.24683,             0.03546,            0.037449,            0.020307,            0.004456,            0.004456,            0.004456
                  58,            0.035129,            0.041585,            0.015181,             0.67038,              0.3708,             0.39891,             0.25224,             0.03558,            0.037851,             0.01994,            0.004357,            0.004357,            0.004357
                  59,            0.033922,            0.041609,            0.014377,             0.69141,             0.36456,             0.39203,             0.25012,            0.035607,            0.038032,            0.020404,            0.004258,            0.004258,            0.004258
                  60,            0.034391,            0.041855,            0.014364,             0.71582,             0.36602,             0.39147,             0.24933,            0.035183,            0.037728,            0.020217,            0.004159,            0.004159,            0.004159
                  61,            0.034396,            0.040572,            0.014674,              0.7128,             0.35867,             0.39026,             0.24862,            0.035392,            0.037274,            0.020303,             0.00406,             0.00406,             0.00406
                  62,            0.033834,            0.040607,            0.014464,             0.71053,              0.3591,             0.39808,             0.25563,            0.035389,            0.037727,            0.020155,            0.003961,            0.003961,            0.003961
                  63,            0.033892,            0.040605,            0.013756,              0.6528,             0.42066,             0.42003,             0.26257,            0.035132,            0.037642,            0.019912,            0.003862,            0.003862,            0.003862
                  64,            0.033312,            0.039672,            0.013834,             0.70237,             0.38685,             0.41517,             0.26492,            0.035168,            0.037615,            0.019805,            0.003763,            0.003763,            0.003763
                  65,            0.033558,            0.039871,            0.013511,             0.73148,             0.36399,             0.39454,             0.25283,             0.03516,            0.038074,            0.020252,            0.003664,            0.003664,            0.003664
                  66,            0.033402,            0.040319,            0.013597,             0.72233,             0.37274,             0.39304,               0.251,            0.035333,             0.03815,            0.020466,            0.003565,            0.003565,            0.003565
                  67,            0.033303,            0.040035,            0.013539,             0.72328,             0.36833,             0.41382,             0.26548,            0.035208,            0.037782,             0.02023,            0.003466,            0.003466,            0.003466
                  68,            0.033303,            0.041464,            0.013682,              0.6353,             0.39283,             0.40647,             0.26113,            0.035143,            0.038027,            0.020108,            0.003367,            0.003367,            0.003367
                  69,            0.032622,            0.038843,            0.012923,             0.65187,             0.38007,             0.40953,             0.26309,            0.035154,            0.038176,            0.020062,            0.003268,            0.003268,            0.003268
                  70,            0.032838,            0.039353,             0.01301,             0.66739,             0.37909,              0.4048,             0.25974,            0.034954,            0.037932,            0.019999,            0.003169,            0.003169,            0.003169
                  71,            0.032723,            0.039322,            0.012841,              0.6616,             0.39237,               0.406,             0.25972,            0.034896,            0.037664,            0.019807,             0.00307,             0.00307,             0.00307
                  72,            0.032481,            0.038639,            0.012743,             0.68094,             0.39776,             0.41385,             0.26047,            0.034897,             0.03782,            0.019733,            0.002971,            0.002971,            0.002971
                  73,            0.032272,            0.039278,            0.012746,             0.70437,             0.38181,             0.40989,             0.26569,            0.034914,            0.038136,            0.020412,            0.002872,            0.002872,            0.002872
                  74,            0.032903,            0.040501,             0.01248,             0.67875,             0.38674,             0.41771,             0.27179,            0.034812,             0.03858,            0.019826,            0.002773,            0.002773,            0.002773
                  75,            0.032002,            0.038258,            0.012367,             0.69315,             0.37593,             0.40965,             0.26091,            0.034845,            0.038087,            0.020185,            0.002674,            0.002674,            0.002674
                  76,            0.031681,            0.038014,             0.01203,             0.67656,             0.38216,             0.40485,             0.26193,            0.034861,            0.038212,             0.02013,            0.002575,            0.002575,            0.002575
                  77,            0.032462,             0.04023,             0.01219,             0.68797,             0.37129,             0.41221,             0.26749,            0.034786,             0.03875,              0.0205,            0.002476,            0.002476,            0.002476
                  78,            0.031814,            0.038292,            0.011636,              0.6737,             0.40079,              0.4098,             0.26749,            0.034875,            0.038337,            0.020704,            0.002377,            0.002377,            0.002377
                  79,            0.031977,            0.038096,            0.012513,             0.69664,             0.37318,             0.41034,             0.26631,            0.034879,            0.038044,            0.020145,            0.002278,            0.002278,            0.002278
                  80,            0.031308,            0.038352,            0.011672,              0.7265,             0.36587,             0.41066,             0.26515,            0.034736,            0.038712,            0.020376,            0.002179,            0.002179,            0.002179
                  81,            0.031125,            0.038187,            0.011621,             0.70569,             0.37351,             0.41428,             0.26904,            0.034776,            0.038881,            0.020467,             0.00208,             0.00208,             0.00208
                  82,            0.031151,            0.037924,            0.011604,             0.73176,             0.37007,             0.42363,              0.2794,            0.034615,            0.038405,            0.020204,            0.001981,            0.001981,            0.001981
                  83,            0.031133,            0.036987,            0.011351,             0.70178,             0.38841,             0.42903,             0.27896,            0.034554,            0.038015,             0.02015,            0.001882,            0.001882,            0.001882
                  84,            0.030898,            0.037467,            0.011036,              0.7087,             0.37237,             0.41088,             0.26964,            0.034621,            0.038426,            0.020156,            0.001783,            0.001783,            0.001783
                  85,            0.030861,            0.037176,            0.011132,             0.72608,             0.37339,             0.42059,             0.27453,            0.034626,            0.038577,            0.020209,            0.001684,            0.001684,            0.001684
                  86,            0.031266,            0.037782,            0.011381,             0.69774,             0.38452,             0.42214,             0.27854,            0.034617,             0.03862,            0.020173,            0.001585,            0.001585,            0.001585
                  87,            0.031102,            0.039013,            0.011001,             0.70523,             0.37241,             0.41994,             0.27449,            0.034573,            0.038763,            0.020692,            0.001486,            0.001486,            0.001486
                  88,            0.031034,            0.038249,            0.010505,             0.71693,             0.36633,             0.42113,             0.27489,            0.034514,            0.038791,            0.020333,            0.001387,            0.001387,            0.001387
                  89,            0.030581,            0.036105,            0.010975,             0.69394,             0.39128,             0.42755,             0.27798,             0.03438,             0.03877,            0.020377,            0.001288,            0.001288,            0.001288
                  90,            0.030478,            0.036688,            0.010728,             0.74016,             0.35676,             0.42082,             0.27901,            0.034534,            0.039583,            0.020459,            0.001189,            0.001189,            0.001189
                  91,            0.030618,            0.037765,            0.010835,              0.7073,             0.38112,             0.42865,             0.27856,            0.034399,            0.038823,            0.020376,             0.00109,             0.00109,             0.00109
                  92,            0.030211,            0.037038,            0.010472,             0.71673,             0.38308,             0.43461,             0.28483,            0.034304,            0.038648,            0.020267,            0.000991,            0.000991,            0.000991
                  93,            0.030072,             0.03566,            0.010301,             0.71055,             0.36712,             0.43024,              0.2853,            0.034435,            0.039154,            0.020278,            0.000892,            0.000892,            0.000892
                  94,            0.030103,            0.036796,            0.010125,              0.7155,             0.37871,             0.43141,              0.2872,            0.034322,            0.038902,            0.020508,            0.000793,            0.000793,            0.000793
                  95,            0.029763,            0.036508,            0.010012,             0.71892,              0.3706,             0.43306,             0.28543,            0.034407,            0.039135,            0.020433,            0.000694,            0.000694,            0.000694
                  96,            0.029864,            0.036518,           0.0099822,             0.71973,             0.38323,             0.43537,             0.28538,            0.034292,            0.039141,            0.020841,            0.000595,            0.000595,            0.000595
                  97,            0.029988,            0.036448,           0.0098676,             0.71182,             0.37581,             0.43078,             0.28107,            0.034351,            0.039301,             0.02079,            0.000496,            0.000496,            0.000496
                  98,             0.02967,            0.036839,           0.0099243,              0.7139,             0.37378,             0.43482,             0.28713,            0.034284,            0.039017,            0.020582,            0.000397,            0.000397,            0.000397
                  99,             0.02995,            0.036355,           0.0096582,             0.71925,             0.37499,             0.43549,             0.28762,            0.034255,            0.039074,            0.020695,            0.000298,            0.000298,            0.000298
